"Step","genial-plant-1122 - loss","genial-plant-1122 - loss__MIN","genial-plant-1122 - loss__MAX"
"0","517.1607666015625","517.1607666015625","517.1607666015625"
"13","511.7957763671875","511.7957763671875","511.7957763671875"
"14","510.8000183105469","510.8000183105469","510.8000183105469"
"15","511.00518798828125","511.00518798828125","511.00518798828125"
"16","510","510","510"
"17","509.801025390625","509.801025390625","509.801025390625"
"18","510.4462890625","510.4462890625","510.4462890625"
"19","508.2994384765625","508.2994384765625","508.2994384765625"
"20","511.3536682128906","511.3536682128906","511.3536682128906"
"21","510.1934509277344","510.1934509277344","510.1934509277344"
"22","508.43310546875","508.43310546875","508.43310546875"
"23","514.2260131835938","514.2260131835938","514.2260131835938"
"24","508.65264892578125","508.65264892578125","508.65264892578125"
"25","509.6153869628906","509.6153869628906","509.6153869628906"
"26","515.9371337890625","515.9371337890625","515.9371337890625"
"27","507.907958984375","507.907958984375","507.907958984375"
"28","510.59136962890625","510.59136962890625","510.59136962890625"
"29","507.6832275390625","507.6832275390625","507.6832275390625"
"30","509.1720275878906","509.1720275878906","509.1720275878906"
"31","508.0813903808594","508.0813903808594","508.0813903808594"
"32","505.620849609375","505.620849609375","505.620849609375"
"33","511.1719970703125","511.1719970703125","511.1719970703125"
"34","506.7674865722656","506.7674865722656","506.7674865722656"
"35","503.93255615234375","503.93255615234375","503.93255615234375"
"36","503.72314453125","503.72314453125","503.72314453125"
"37","502.93658447265625","502.93658447265625","502.93658447265625"
"38","503.8851013183594","503.8851013183594","503.8851013183594"
"39","499.24591064453125","499.24591064453125","499.24591064453125"
"40","499.0638732910156","499.0638732910156","499.0638732910156"
"41","496.953857421875","496.953857421875","496.953857421875"
"42","496.14825439453125","496.14825439453125","496.14825439453125"
"43","491.4573974609375","491.4573974609375","491.4573974609375"
"44","487.0013427734375","487.0013427734375","487.0013427734375"
"45","481.2651672363281","481.2651672363281","481.2651672363281"
"46","480.5214538574219","480.5214538574219","480.5214538574219"
"47","469.96221923828125","469.96221923828125","469.96221923828125"
"48","467.4763488769531","467.4763488769531","467.4763488769531"
"49","453.8966369628906","453.8966369628906","453.8966369628906"
"50","453.34112548828125","453.34112548828125","453.34112548828125"
"51","442.08013916015625","442.08013916015625","442.08013916015625"
"52","434.38385009765625","434.38385009765625","434.38385009765625"
"53","422.32244873046875","422.32244873046875","422.32244873046875"
"54","416.04266357421875","416.04266357421875","416.04266357421875"
"55","394.9125061035156","394.9125061035156","394.9125061035156"
"56","394.18902587890625","394.18902587890625","394.18902587890625"
"57","387.90362548828125","387.90362548828125","387.90362548828125"
"58","380.5738525390625","380.5738525390625","380.5738525390625"
"59","373.2249755859375","373.2249755859375","373.2249755859375"
"60","367.3655700683594","367.3655700683594","367.3655700683594"
"61","354.94720458984375","354.94720458984375","354.94720458984375"
"62","331.9565124511719","331.9565124511719","331.9565124511719"
"63","345.9586181640625","345.9586181640625","345.9586181640625"
"64","320.33343505859375","320.33343505859375","320.33343505859375"
"65","322.86383056640625","322.86383056640625","322.86383056640625"
"66","305.4947204589844","305.4947204589844","305.4947204589844"
"67","307.38360595703125","307.38360595703125","307.38360595703125"
"68","299.1045227050781","299.1045227050781","299.1045227050781"
"69","287.88446044921875","287.88446044921875","287.88446044921875"
"70","283.60076904296875","283.60076904296875","283.60076904296875"
"71","279.21575927734375","279.21575927734375","279.21575927734375"
"72","263.58154296875","263.58154296875","263.58154296875"
"73","250.36309814453125","250.36309814453125","250.36309814453125"
"74","240.44235229492188","240.44235229492188","240.44235229492188"
"75","230.5465545654297","230.5465545654297","230.5465545654297"
"76","224.88592529296875","224.88592529296875","224.88592529296875"
"77","218.3784942626953","218.3784942626953","218.3784942626953"
"78","226.8167724609375","226.8167724609375","226.8167724609375"
"79","200.74313354492188","200.74313354492188","200.74313354492188"
"80","185.689453125","185.689453125","185.689453125"
"81","191.51649475097656","191.51649475097656","191.51649475097656"
"82","180.04000854492188","180.04000854492188","180.04000854492188"
"83","185.91806030273438","185.91806030273438","185.91806030273438"
"84","177.84963989257812","177.84963989257812","177.84963989257812"
"85","182.64077758789062","182.64077758789062","182.64077758789062"
"86","170.99522399902344","170.99522399902344","170.99522399902344"
"87","155.58660888671875","155.58660888671875","155.58660888671875"
"88","164.24899291992188","164.24899291992188","164.24899291992188"
"89","168.23056030273438","168.23056030273438","168.23056030273438"
"90","166.88198852539062","166.88198852539062","166.88198852539062"
"91","150.55931091308594","150.55931091308594","150.55931091308594"
"92","156.3258514404297","156.3258514404297","156.3258514404297"
"93","146.85818481445312","146.85818481445312","146.85818481445312"
"94","155.52227783203125","155.52227783203125","155.52227783203125"
"95","119.09658813476562","119.09658813476562","119.09658813476562"
"96","135.89486694335938","135.89486694335938","135.89486694335938"
"97","125.28652954101562","125.28652954101562","125.28652954101562"
"98","119.41744232177734","119.41744232177734","119.41744232177734"
"99","116.90473937988281","116.90473937988281","116.90473937988281"
"100","145.29718017578125","145.29718017578125","145.29718017578125"
"101","125.6108169555664","125.6108169555664","125.6108169555664"
"102","122.93126678466797","122.93126678466797","122.93126678466797"
"103","141.95748901367188","141.95748901367188","141.95748901367188"
"104","115.56686401367188","115.56686401367188","115.56686401367188"
"105","120.29798889160156","120.29798889160156","120.29798889160156"
"106","126.64883422851562","126.64883422851562","126.64883422851562"
"107","109.20085906982422","109.20085906982422","109.20085906982422"
"108","109.09768676757812","109.09768676757812","109.09768676757812"
"109","119.52594757080078","119.52594757080078","119.52594757080078"
"110","132.376953125","132.376953125","132.376953125"
"111","117.93824768066406","117.93824768066406","117.93824768066406"
"112","105.42405700683594","105.42405700683594","105.42405700683594"
"125","133.54867553710938","133.54867553710938","133.54867553710938"
"126","107.68167114257812","107.68167114257812","107.68167114257812"
"127","143.40420532226562","143.40420532226562","143.40420532226562"
"128","98.63069915771484","98.63069915771484","98.63069915771484"
"129","96.56485748291016","96.56485748291016","96.56485748291016"
"130","124.86427307128906","124.86427307128906","124.86427307128906"
"131","110.37429809570312","110.37429809570312","110.37429809570312"
"132","107.56307220458984","107.56307220458984","107.56307220458984"
"133","119.00431060791016","119.00431060791016","119.00431060791016"
"134","110.42373657226562","110.42373657226562","110.42373657226562"
"135","130.20921325683594","130.20921325683594","130.20921325683594"
"136","123.36433410644531","123.36433410644531","123.36433410644531"
"137","116.41722106933594","116.41722106933594","116.41722106933594"
"138","135.8874969482422","135.8874969482422","135.8874969482422"
"139","113.88062286376953","113.88062286376953","113.88062286376953"
"140","107.68843078613281","107.68843078613281","107.68843078613281"
"141","107.04586791992188","107.04586791992188","107.04586791992188"
"142","157.00942993164062","157.00942993164062","157.00942993164062"
"143","90.49623107910156","90.49623107910156","90.49623107910156"
"144","87.72341918945312","87.72341918945312","87.72341918945312"
"145","114.10104370117188","114.10104370117188","114.10104370117188"
"146","84.95440673828125","84.95440673828125","84.95440673828125"
"147","103.29721069335938","103.29721069335938","103.29721069335938"
"148","111.39201354980469","111.39201354980469","111.39201354980469"
"149","108.12565612792969","108.12565612792969","108.12565612792969"
"150","129.80621337890625","129.80621337890625","129.80621337890625"
"151","76.64495849609375","76.64495849609375","76.64495849609375"
"152","108.14783477783203","108.14783477783203","108.14783477783203"
"153","95.5797119140625","95.5797119140625","95.5797119140625"
"154","91.33928680419922","91.33928680419922","91.33928680419922"
"155","107.2491455078125","107.2491455078125","107.2491455078125"
"156","82.59205627441406","82.59205627441406","82.59205627441406"
"157","112.68999481201172","112.68999481201172","112.68999481201172"
"158","89.03681182861328","89.03681182861328","89.03681182861328"
"159","99.8267593383789","99.8267593383789","99.8267593383789"
"160","104.65473937988281","104.65473937988281","104.65473937988281"
"161","104.407470703125","104.407470703125","104.407470703125"
"162","100.37284088134766","100.37284088134766","100.37284088134766"
"163","108.583740234375","108.583740234375","108.583740234375"
"164","80.25247192382812","80.25247192382812","80.25247192382812"
"165","94.51899719238281","94.51899719238281","94.51899719238281"
"166","116.49058532714844","116.49058532714844","116.49058532714844"
"167","103.14822387695312","103.14822387695312","103.14822387695312"
"168","97.66726684570312","97.66726684570312","97.66726684570312"
"169","122.4617691040039","122.4617691040039","122.4617691040039"
"170","89.98133087158203","89.98133087158203","89.98133087158203"
"171","94.07093048095703","94.07093048095703","94.07093048095703"
"172","97.63236999511719","97.63236999511719","97.63236999511719"
"173","126.46546173095703","126.46546173095703","126.46546173095703"
"174","77.69790649414062","77.69790649414062","77.69790649414062"
"175","115.07318115234375","115.07318115234375","115.07318115234375"
"176","88.98674011230469","88.98674011230469","88.98674011230469"
"177","84.76094055175781","84.76094055175781","84.76094055175781"
"178","91.99099731445312","91.99099731445312","91.99099731445312"
"179","98.89801025390625","98.89801025390625","98.89801025390625"
"180","102.61026000976562","102.61026000976562","102.61026000976562"
"181","101.8490219116211","101.8490219116211","101.8490219116211"
"182","107.85001373291016","107.85001373291016","107.85001373291016"
"183","92.25315856933594","92.25315856933594","92.25315856933594"
"184","99.28959655761719","99.28959655761719","99.28959655761719"
"185","82.11665344238281","82.11665344238281","82.11665344238281"
"186","106.40022277832031","106.40022277832031","106.40022277832031"
"187","93.33451843261719","93.33451843261719","93.33451843261719"
"188","90.14012908935547","90.14012908935547","90.14012908935547"
"189","82.22550964355469","82.22550964355469","82.22550964355469"
"190","89.18450164794922","89.18450164794922","89.18450164794922"
"191","98.3530044555664","98.3530044555664","98.3530044555664"
"192","87.62580871582031","87.62580871582031","87.62580871582031"
"193","63.5459098815918","63.5459098815918","63.5459098815918"
"194","68.31961059570312","68.31961059570312","68.31961059570312"
"195","89.80461120605469","89.80461120605469","89.80461120605469"
"196","84.14675903320312","84.14675903320312","84.14675903320312"
"197","101.43052673339844","101.43052673339844","101.43052673339844"
"198","87.02732849121094","87.02732849121094","87.02732849121094"
"199","98.373779296875","98.373779296875","98.373779296875"
"200","120.27680206298828","120.27680206298828","120.27680206298828"
"201","91.9840087890625","91.9840087890625","91.9840087890625"
"202","92.33753967285156","92.33753967285156","92.33753967285156"
"203","79.06124114990234","79.06124114990234","79.06124114990234"
"204","98.81343078613281","98.81343078613281","98.81343078613281"
"205","95.608642578125","95.608642578125","95.608642578125"
"206","78.87781524658203","78.87781524658203","78.87781524658203"
"207","114.30429077148438","114.30429077148438","114.30429077148438"
"208","86.97294616699219","86.97294616699219","86.97294616699219"
"209","88.92272186279297","88.92272186279297","88.92272186279297"
"210","69.40956115722656","69.40956115722656","69.40956115722656"
"211","93.2623519897461","93.2623519897461","93.2623519897461"
"212","95.0618896484375","95.0618896484375","95.0618896484375"
"213","72.14471435546875","72.14471435546875","72.14471435546875"
"214","83.77799987792969","83.77799987792969","83.77799987792969"
"215","78.21595001220703","78.21595001220703","78.21595001220703"
"216","89.66163635253906","89.66163635253906","89.66163635253906"
"217","80.83010864257812","80.83010864257812","80.83010864257812"
"218","93.71942138671875","93.71942138671875","93.71942138671875"
"219","83.32766723632812","83.32766723632812","83.32766723632812"
"220","87.01883697509766","87.01883697509766","87.01883697509766"
"221","95.00143432617188","95.00143432617188","95.00143432617188"
"222","78.06780242919922","78.06780242919922","78.06780242919922"
"223","103.61073303222656","103.61073303222656","103.61073303222656"
"224","78.5447998046875","78.5447998046875","78.5447998046875"
"237","79.31452178955078","79.31452178955078","79.31452178955078"
"238","77.24397277832031","77.24397277832031","77.24397277832031"
"239","86.68901062011719","86.68901062011719","86.68901062011719"
"240","78.20065307617188","78.20065307617188","78.20065307617188"
"241","116.50697326660156","116.50697326660156","116.50697326660156"
"242","91.70172119140625","91.70172119140625","91.70172119140625"
"243","76.38803100585938","76.38803100585938","76.38803100585938"
"244","100.00173950195312","100.00173950195312","100.00173950195312"
"245","91.59297180175781","91.59297180175781","91.59297180175781"
"246","74.77849578857422","74.77849578857422","74.77849578857422"
"247","75.19778442382812","75.19778442382812","75.19778442382812"
"248","85.62417602539062","85.62417602539062","85.62417602539062"
"249","74.43278503417969","74.43278503417969","74.43278503417969"
"250","99.30943298339844","99.30943298339844","99.30943298339844"
"251","87.17509460449219","87.17509460449219","87.17509460449219"
"252","77.98028564453125","77.98028564453125","77.98028564453125"
"253","88.95039367675781","88.95039367675781","88.95039367675781"
"254","76.20543670654297","76.20543670654297","76.20543670654297"
"255","88.63788604736328","88.63788604736328","88.63788604736328"
"256","75.89495086669922","75.89495086669922","75.89495086669922"
"257","72.71321868896484","72.71321868896484","72.71321868896484"
"258","103.55997467041016","103.55997467041016","103.55997467041016"
"259","83.32655334472656","83.32655334472656","83.32655334472656"
"260","80.65655517578125","80.65655517578125","80.65655517578125"
"261","96.1093521118164","96.1093521118164","96.1093521118164"
"262","77.96043395996094","77.96043395996094","77.96043395996094"
"263","88.1178970336914","88.1178970336914","88.1178970336914"
"264","84.69056701660156","84.69056701660156","84.69056701660156"
"265","94.54734802246094","94.54734802246094","94.54734802246094"
"266","88.91758728027344","88.91758728027344","88.91758728027344"
"267","83.49473571777344","83.49473571777344","83.49473571777344"
"268","103.15275573730469","103.15275573730469","103.15275573730469"
"269","94.09233856201172","94.09233856201172","94.09233856201172"
"270","85.19343566894531","85.19343566894531","85.19343566894531"
"271","95.49327087402344","95.49327087402344","95.49327087402344"
"272","97.71435546875","97.71435546875","97.71435546875"
"273","87.36734008789062","87.36734008789062","87.36734008789062"
"274","90.5789794921875","90.5789794921875","90.5789794921875"
"275","93.70899200439453","93.70899200439453","93.70899200439453"
"276","112.18587493896484","112.18587493896484","112.18587493896484"
"277","90.37771606445312","90.37771606445312","90.37771606445312"
"278","88.20565032958984","88.20565032958984","88.20565032958984"
"279","82.35504150390625","82.35504150390625","82.35504150390625"
"280","74.67427825927734","74.67427825927734","74.67427825927734"
"281","85.13687896728516","85.13687896728516","85.13687896728516"
"282","52.94081115722656","52.94081115722656","52.94081115722656"
"283","79.94708251953125","79.94708251953125","79.94708251953125"
"284","74.17389678955078","74.17389678955078","74.17389678955078"
"285","74.69034576416016","74.69034576416016","74.69034576416016"
"286","72.23995971679688","72.23995971679688","72.23995971679688"
"287","84.06062316894531","84.06062316894531","84.06062316894531"
"288","83.27804565429688","83.27804565429688","83.27804565429688"
"289","101.0889663696289","101.0889663696289","101.0889663696289"
"290","90.98139190673828","90.98139190673828","90.98139190673828"
"291","84.55830383300781","84.55830383300781","84.55830383300781"
"292","72.40946960449219","72.40946960449219","72.40946960449219"
"293","85.45167541503906","85.45167541503906","85.45167541503906"
"294","77.28782653808594","77.28782653808594","77.28782653808594"
"295","76.01091003417969","76.01091003417969","76.01091003417969"
"296","68.314208984375","68.314208984375","68.314208984375"
"297","64.27975463867188","64.27975463867188","64.27975463867188"
"298","78.98779296875","78.98779296875","78.98779296875"
"299","69.32373809814453","69.32373809814453","69.32373809814453"
"300","83.8624038696289","83.8624038696289","83.8624038696289"
"301","88.11380004882812","88.11380004882812","88.11380004882812"
"302","70.86480712890625","70.86480712890625","70.86480712890625"
"303","53.32529067993164","53.32529067993164","53.32529067993164"
"304","86.99447631835938","86.99447631835938","86.99447631835938"
"305","89.35736083984375","89.35736083984375","89.35736083984375"
"306","79.80175018310547","79.80175018310547","79.80175018310547"
"307","81.76921844482422","81.76921844482422","81.76921844482422"
"308","68.80113220214844","68.80113220214844","68.80113220214844"
"309","75.21391296386719","75.21391296386719","75.21391296386719"
"310","72.64974212646484","72.64974212646484","72.64974212646484"
"311","83.2432861328125","83.2432861328125","83.2432861328125"
"312","77.9640884399414","77.9640884399414","77.9640884399414"
"313","75.59689331054688","75.59689331054688","75.59689331054688"
"314","92.94578552246094","92.94578552246094","92.94578552246094"
"315","80.95242309570312","80.95242309570312","80.95242309570312"
"316","79.86443328857422","79.86443328857422","79.86443328857422"
"317","68.87702941894531","68.87702941894531","68.87702941894531"
"318","69.17505645751953","69.17505645751953","69.17505645751953"
"319","66.39537048339844","66.39537048339844","66.39537048339844"
"320","62.8902702331543","62.8902702331543","62.8902702331543"
"321","80.19172668457031","80.19172668457031","80.19172668457031"
"322","88.07418823242188","88.07418823242188","88.07418823242188"
"323","90.66023254394531","90.66023254394531","90.66023254394531"
"324","84.19163513183594","84.19163513183594","84.19163513183594"
"325","64.48699951171875","64.48699951171875","64.48699951171875"
"326","81.21337127685547","81.21337127685547","81.21337127685547"
"327","74.25924682617188","74.25924682617188","74.25924682617188"
"328","67.96585083007812","67.96585083007812","67.96585083007812"
"329","86.29683685302734","86.29683685302734","86.29683685302734"
"330","86.26724243164062","86.26724243164062","86.26724243164062"
"331","90.41329193115234","90.41329193115234","90.41329193115234"
"332","71.4287338256836","71.4287338256836","71.4287338256836"
"333","62.342506408691406","62.342506408691406","62.342506408691406"
"334","64.84516906738281","64.84516906738281","64.84516906738281"
"335","77.75066375732422","77.75066375732422","77.75066375732422"
"336","70.23060607910156","70.23060607910156","70.23060607910156"
"349","70.51500701904297","70.51500701904297","70.51500701904297"
"350","88.84587097167969","88.84587097167969","88.84587097167969"
"351","85.20819091796875","85.20819091796875","85.20819091796875"
"352","76.72584533691406","76.72584533691406","76.72584533691406"
"353","63.04694366455078","63.04694366455078","63.04694366455078"
"354","70.23387145996094","70.23387145996094","70.23387145996094"
"355","72.16033172607422","72.16033172607422","72.16033172607422"
"356","77.46668243408203","77.46668243408203","77.46668243408203"
"357","71.20477294921875","71.20477294921875","71.20477294921875"
"358","73.89434814453125","73.89434814453125","73.89434814453125"
"359","55.76473617553711","55.76473617553711","55.76473617553711"
"360","70.25032043457031","70.25032043457031","70.25032043457031"
"361","85.85536193847656","85.85536193847656","85.85536193847656"
"362","81.0897216796875","81.0897216796875","81.0897216796875"
"363","72.36708068847656","72.36708068847656","72.36708068847656"
"364","72.96642303466797","72.96642303466797","72.96642303466797"
"365","61.10459899902344","61.10459899902344","61.10459899902344"
"366","69.79622650146484","69.79622650146484","69.79622650146484"
"367","75.60887145996094","75.60887145996094","75.60887145996094"
"368","83.45854949951172","83.45854949951172","83.45854949951172"
"369","60.470985412597656","60.470985412597656","60.470985412597656"
"370","83.99267578125","83.99267578125","83.99267578125"
"371","63.92378234863281","63.92378234863281","63.92378234863281"
"372","61.42036437988281","61.42036437988281","61.42036437988281"
"373","73.72377014160156","73.72377014160156","73.72377014160156"
"374","79.18539428710938","79.18539428710938","79.18539428710938"
"375","76.13536834716797","76.13536834716797","76.13536834716797"
"376","80.41023254394531","80.41023254394531","80.41023254394531"
"377","74.41038513183594","74.41038513183594","74.41038513183594"
"378","57.329261779785156","57.329261779785156","57.329261779785156"
"379","73.53323364257812","73.53323364257812","73.53323364257812"
"380","74.3006362915039","74.3006362915039","74.3006362915039"
"381","74.5170669555664","74.5170669555664","74.5170669555664"
"382","68.67424011230469","68.67424011230469","68.67424011230469"
"383","62.76169204711914","62.76169204711914","62.76169204711914"
"384","68.38935089111328","68.38935089111328","68.38935089111328"
"385","59.83039474487305","59.83039474487305","59.83039474487305"
"386","63.34972381591797","63.34972381591797","63.34972381591797"
"387","67.35952758789062","67.35952758789062","67.35952758789062"
"388","60.83216094970703","60.83216094970703","60.83216094970703"
"389","71.60579681396484","71.60579681396484","71.60579681396484"
"390","56.89016342163086","56.89016342163086","56.89016342163086"
"391","63.82981872558594","63.82981872558594","63.82981872558594"
"392","74.47724151611328","74.47724151611328","74.47724151611328"
"393","65.62150573730469","65.62150573730469","65.62150573730469"
"394","66.80066680908203","66.80066680908203","66.80066680908203"
"395","74.56884002685547","74.56884002685547","74.56884002685547"
"396","75.48262023925781","75.48262023925781","75.48262023925781"
"397","59.66393280029297","59.66393280029297","59.66393280029297"
"398","68.97541809082031","68.97541809082031","68.97541809082031"
"399","77.17793273925781","77.17793273925781","77.17793273925781"
"400","74.28884887695312","74.28884887695312","74.28884887695312"
"401","66.1482162475586","66.1482162475586","66.1482162475586"
"402","63.50668716430664","63.50668716430664","63.50668716430664"
"403","58.117618560791016","58.117618560791016","58.117618560791016"
"404","75.56151580810547","75.56151580810547","75.56151580810547"
"405","83.60769653320312","83.60769653320312","83.60769653320312"
"406","67.00798034667969","67.00798034667969","67.00798034667969"
"407","48.97777557373047","48.97777557373047","48.97777557373047"
"408","57.415771484375","57.415771484375","57.415771484375"
"409","69.23037719726562","69.23037719726562","69.23037719726562"
"410","76.50143432617188","76.50143432617188","76.50143432617188"
"411","76.114990234375","76.114990234375","76.114990234375"
"412","83.01982116699219","83.01982116699219","83.01982116699219"
"413","100.1053237915039","100.1053237915039","100.1053237915039"
"414","68.1309814453125","68.1309814453125","68.1309814453125"
"415","76.69103240966797","76.69103240966797","76.69103240966797"
"416","64.86346435546875","64.86346435546875","64.86346435546875"
"417","74.18231201171875","74.18231201171875","74.18231201171875"
"418","80.47421264648438","80.47421264648438","80.47421264648438"
"419","46.81792068481445","46.81792068481445","46.81792068481445"
"420","52.39162063598633","52.39162063598633","52.39162063598633"
"421","74.9197998046875","74.9197998046875","74.9197998046875"
"422","73.4598388671875","73.4598388671875","73.4598388671875"
"423","80.25724792480469","80.25724792480469","80.25724792480469"
"424","61.336978912353516","61.336978912353516","61.336978912353516"
"425","60.194908142089844","60.194908142089844","60.194908142089844"
"426","77.71388244628906","77.71388244628906","77.71388244628906"
"427","88.48607635498047","88.48607635498047","88.48607635498047"
"428","73.2338638305664","73.2338638305664","73.2338638305664"
"429","68.71235656738281","68.71235656738281","68.71235656738281"
"430","69.81460571289062","69.81460571289062","69.81460571289062"
"431","80.3823013305664","80.3823013305664","80.3823013305664"
"432","44.53443145751953","44.53443145751953","44.53443145751953"
"433","65.08393859863281","65.08393859863281","65.08393859863281"
"434","73.30647277832031","73.30647277832031","73.30647277832031"
"435","72.65910339355469","72.65910339355469","72.65910339355469"
"436","59.166412353515625","59.166412353515625","59.166412353515625"
"437","55.718101501464844","55.718101501464844","55.718101501464844"
"438","76.88353729248047","76.88353729248047","76.88353729248047"
