"Step","golden-forest-1144 - loss","golden-forest-1144 - loss__MIN","golden-forest-1144 - loss__MAX"
"0","30.86457061767578","30.86457061767578","30.86457061767578"
"13","31.078670501708984","31.078670501708984","31.078670501708984"
"14","33.73028564453125","33.73028564453125","33.73028564453125"
"15","28.013404846191406","28.013404846191406","28.013404846191406"
"16","22.2724552154541","22.2724552154541","22.2724552154541"
"17","24.553180694580078","24.553180694580078","24.553180694580078"
"18","25.387718200683594","25.387718200683594","25.387718200683594"
"19","24.22476577758789","24.22476577758789","24.22476577758789"
"20","20.90343475341797","20.90343475341797","20.90343475341797"
"21","27.538158416748047","27.538158416748047","27.538158416748047"
"22","23.115825653076172","23.115825653076172","23.115825653076172"
"23","28.33488655090332","28.33488655090332","28.33488655090332"
"24","32.431884765625","32.431884765625","32.431884765625"
"25","18.928115844726562","18.928115844726562","18.928115844726562"
"26","31.056833267211914","31.056833267211914","31.056833267211914"
"27","24.94802474975586","24.94802474975586","24.94802474975586"
"28","28.49131202697754","28.49131202697754","28.49131202697754"
"29","29.338016510009766","29.338016510009766","29.338016510009766"
"30","23.25124168395996","23.25124168395996","23.25124168395996"
"31","29.021127700805664","29.021127700805664","29.021127700805664"
"32","27.299297332763672","27.299297332763672","27.299297332763672"
"33","23.740291595458984","23.740291595458984","23.740291595458984"
"34","27.12221336364746","27.12221336364746","27.12221336364746"
"35","28.67382049560547","28.67382049560547","28.67382049560547"
"36","25.974822998046875","25.974822998046875","25.974822998046875"
"37","22.596080780029297","22.596080780029297","22.596080780029297"
"38","27.766033172607422","27.766033172607422","27.766033172607422"
"39","25.28921890258789","25.28921890258789","25.28921890258789"
"40","27.741472244262695","27.741472244262695","27.741472244262695"
"41","26.689308166503906","26.689308166503906","26.689308166503906"
"42","29.236270904541016","29.236270904541016","29.236270904541016"
"43","32.367523193359375","32.367523193359375","32.367523193359375"
"44","25.71585464477539","25.71585464477539","25.71585464477539"
"45","23.747634887695312","23.747634887695312","23.747634887695312"
"46","36.35144805908203","36.35144805908203","36.35144805908203"
"47","24.38744354248047","24.38744354248047","24.38744354248047"
"48","26.26091194152832","26.26091194152832","26.26091194152832"
"49","24.964038848876953","24.964038848876953","24.964038848876953"
"50","28.190643310546875","28.190643310546875","28.190643310546875"
"51","24.592708587646484","24.592708587646484","24.592708587646484"
"52","30.087173461914062","30.087173461914062","30.087173461914062"
"53","27.667800903320312","27.667800903320312","27.667800903320312"
"54","31.799196243286133","31.799196243286133","31.799196243286133"
"55","28.481483459472656","28.481483459472656","28.481483459472656"
"56","24.336305618286133","24.336305618286133","24.336305618286133"
"57","28.110647201538086","28.110647201538086","28.110647201538086"
"58","30.40500831604004","30.40500831604004","30.40500831604004"
"59","29.044204711914062","29.044204711914062","29.044204711914062"
"60","33.18071365356445","33.18071365356445","33.18071365356445"
"61","27.881498336791992","27.881498336791992","27.881498336791992"
"62","22.745723724365234","22.745723724365234","22.745723724365234"
"63","30.60124969482422","30.60124969482422","30.60124969482422"
"64","26.451427459716797","26.451427459716797","26.451427459716797"
"65","29.513195037841797","29.513195037841797","29.513195037841797"
