"Step","magic-salad-1128 - loss","magic-salad-1128 - loss__MIN","magic-salad-1128 - loss__MAX"
"315","191.02369689941406","191.02369689941406","191.02369689941406"
"316","164.7497100830078","164.7497100830078","164.7497100830078"
"317","140.28164672851562","140.28164672851562","140.28164672851562"
"318","176.9880828857422","176.9880828857422","176.9880828857422"
"319","206.73699951171875","206.73699951171875","206.73699951171875"
"320","175.75225830078125","175.75225830078125","175.75225830078125"
"321","160.35032653808594","160.35032653808594","160.35032653808594"
"322","172.81375122070312","172.81375122070312","172.81375122070312"
"323","187.37884521484375","187.37884521484375","187.37884521484375"
"324","147.50108337402344","147.50108337402344","147.50108337402344"
"325","182.23696899414062","182.23696899414062","182.23696899414062"
"326","158.2184295654297","158.2184295654297","158.2184295654297"
"327","161.58230590820312","161.58230590820312","161.58230590820312"
"328","202.4400634765625","202.4400634765625","202.4400634765625"
"329","146.7971954345703","146.7971954345703","146.7971954345703"
"330","159.21527099609375","159.21527099609375","159.21527099609375"
"331","180.24436950683594","180.24436950683594","180.24436950683594"
"332","141.65362548828125","141.65362548828125","141.65362548828125"
"333","162.7760467529297","162.7760467529297","162.7760467529297"
"334","168.18429565429688","168.18429565429688","168.18429565429688"
"335","141.3249969482422","141.3249969482422","141.3249969482422"
"336","182.9630889892578","182.9630889892578","182.9630889892578"
"349","169.52590942382812","169.52590942382812","169.52590942382812"
"350","137.1275634765625","137.1275634765625","137.1275634765625"
"351","170.0853729248047","170.0853729248047","170.0853729248047"
"352","170.69766235351562","170.69766235351562","170.69766235351562"
"353","147.76446533203125","147.76446533203125","147.76446533203125"
"354","144.83023071289062","144.83023071289062","144.83023071289062"
"355","147.2380828857422","147.2380828857422","147.2380828857422"
"356","185.08082580566406","185.08082580566406","185.08082580566406"
"357","148.1137237548828","148.1137237548828","148.1137237548828"
"358","153.22756958007812","153.22756958007812","153.22756958007812"
"359","134.6465301513672","134.6465301513672","134.6465301513672"
"360","111.61965942382812","111.61965942382812","111.61965942382812"
"361","153.3072967529297","153.3072967529297","153.3072967529297"
"362","148.2416229248047","148.2416229248047","148.2416229248047"
"363","151.5557861328125","151.5557861328125","151.5557861328125"
