"Step","likely-dust-1143 - loss","likely-dust-1143 - loss__MIN","likely-dust-1143 - loss__MAX"
"0","35.219635009765625","35.219635009765625","35.219635009765625"
"13","34.54523849487305","34.54523849487305","34.54523849487305"
"14","35.416378021240234","35.416378021240234","35.416378021240234"
"15","33.06810760498047","33.06810760498047","33.06810760498047"
"16","27.15582275390625","27.15582275390625","27.15582275390625"
"17","26.80775260925293","26.80775260925293","26.80775260925293"
"18","29.98598289489746","29.98598289489746","29.98598289489746"
"19","24.888864517211914","24.888864517211914","24.888864517211914"
"20","25.197528839111328","25.197528839111328","25.197528839111328"
"21","31.015295028686523","31.015295028686523","31.015295028686523"
"22","25.819740295410156","25.819740295410156","25.819740295410156"
"23","32.61500930786133","32.61500930786133","32.61500930786133"
"24","37.829532623291016","37.829532623291016","37.829532623291016"
"25","24.39116668701172","24.39116668701172","24.39116668701172"
"26","34.63431930541992","34.63431930541992","34.63431930541992"
"27","28.779930114746094","28.779930114746094","28.779930114746094"
"28","32.429893493652344","32.429893493652344","32.429893493652344"
"29","34.63827133178711","34.63827133178711","34.63827133178711"
"30","26.149965286254883","26.149965286254883","26.149965286254883"
"31","33.08971405029297","33.08971405029297","33.08971405029297"
"32","30.77661895751953","30.77661895751953","30.77661895751953"
"33","30.515892028808594","30.515892028808594","30.515892028808594"
"34","30.768112182617188","30.768112182617188","30.768112182617188"
"35","40.308685302734375","40.308685302734375","40.308685302734375"
"36","29.19663429260254","29.19663429260254","29.19663429260254"
"37","30.335376739501953","30.335376739501953","30.335376739501953"
"38","37.6719970703125","37.6719970703125","37.6719970703125"
"39","30.945676803588867","30.945676803588867","30.945676803588867"
"40","34.989559173583984","34.989559173583984","34.989559173583984"
"41","32.04585647583008","32.04585647583008","32.04585647583008"
"42","33.90916442871094","33.90916442871094","33.90916442871094"
"43","31.862018585205078","31.862018585205078","31.862018585205078"
"44","30.72831916809082","30.72831916809082","30.72831916809082"
"45","26.052669525146484","26.052669525146484","26.052669525146484"
"46","37.04648971557617","37.04648971557617","37.04648971557617"
"47","26.719940185546875","26.719940185546875","26.719940185546875"
"48","30.67754364013672","30.67754364013672","30.67754364013672"
"49","24.999935150146484","24.999935150146484","24.999935150146484"
"50","37.66942596435547","37.66942596435547","37.66942596435547"
"51","30.30437469482422","30.30437469482422","30.30437469482422"
"52","30.177518844604492","30.177518844604492","30.177518844604492"
"53","33.15559768676758","33.15559768676758","33.15559768676758"
"54","35.04168701171875","35.04168701171875","35.04168701171875"
"55","32.76691818237305","32.76691818237305","32.76691818237305"
"56","29.755817413330078","29.755817413330078","29.755817413330078"
"57","29.102886199951172","29.102886199951172","29.102886199951172"
"58","32.993385314941406","32.993385314941406","32.993385314941406"
"59","32.04241180419922","32.04241180419922","32.04241180419922"
"60","32.911983489990234","32.911983489990234","32.911983489990234"
"61","30.79484748840332","30.79484748840332","30.79484748840332"
"62","27.730127334594727","27.730127334594727","27.730127334594727"
"63","35.031192779541016","35.031192779541016","35.031192779541016"
"64","30.59247589111328","30.59247589111328","30.59247589111328"
"65","33.07910919189453","33.07910919189453","33.07910919189453"
"66","30.23261260986328","30.23261260986328","30.23261260986328"
"67","32.7842903137207","32.7842903137207","32.7842903137207"
"68","32.5986213684082","32.5986213684082","32.5986213684082"
"69","35.04933166503906","35.04933166503906","35.04933166503906"
"70","36.50529479980469","36.50529479980469","36.50529479980469"
"71","35.46815490722656","35.46815490722656","35.46815490722656"
"72","30.127031326293945","30.127031326293945","30.127031326293945"
"73","29.033058166503906","29.033058166503906","29.033058166503906"
"74","26.859628677368164","26.859628677368164","26.859628677368164"
"75","30.971097946166992","30.971097946166992","30.971097946166992"
"76","31.39731788635254","31.39731788635254","31.39731788635254"
"77","30.622426986694336","30.622426986694336","30.622426986694336"
"78","31.619632720947266","31.619632720947266","31.619632720947266"
"79","31.180381774902344","31.180381774902344","31.180381774902344"
"80","28.54815673828125","28.54815673828125","28.54815673828125"
"81","27.928882598876953","27.928882598876953","27.928882598876953"
"82","28.140405654907227","28.140405654907227","28.140405654907227"
"83","30.373199462890625","30.373199462890625","30.373199462890625"
"84","31.20574188232422","31.20574188232422","31.20574188232422"
"85","35.77130126953125","35.77130126953125","35.77130126953125"
"86","27.898469924926758","27.898469924926758","27.898469924926758"
"87","28.262680053710938","28.262680053710938","28.262680053710938"
"88","34.22907638549805","34.22907638549805","34.22907638549805"
"89","32.550697326660156","32.550697326660156","32.550697326660156"
"90","33.317447662353516","33.317447662353516","33.317447662353516"
"91","32.829891204833984","32.829891204833984","32.829891204833984"
"92","32.5809440612793","32.5809440612793","32.5809440612793"
"93","28.513431549072266","28.513431549072266","28.513431549072266"
"94","31.53459358215332","31.53459358215332","31.53459358215332"
"95","25.7800235748291","25.7800235748291","25.7800235748291"
"96","30.010398864746094","30.010398864746094","30.010398864746094"
"97","28.902965545654297","28.902965545654297","28.902965545654297"
"98","25.55706787109375","25.55706787109375","25.55706787109375"
"99","22.978527069091797","22.978527069091797","22.978527069091797"
"100","35.224910736083984","35.224910736083984","35.224910736083984"
"101","29.43482208251953","29.43482208251953","29.43482208251953"
"102","30.871612548828125","30.871612548828125","30.871612548828125"
"103","32.18132019042969","32.18132019042969","32.18132019042969"
"104","30.970565795898438","30.970565795898438","30.970565795898438"
"105","31.647354125976562","31.647354125976562","31.647354125976562"
"106","32.327850341796875","32.327850341796875","32.327850341796875"
"107","25.404159545898438","25.404159545898438","25.404159545898438"
"108","29.739965438842773","29.739965438842773","29.739965438842773"
"109","29.979997634887695","29.979997634887695","29.979997634887695"
"110","33.46650695800781","33.46650695800781","33.46650695800781"
"111","28.13231086730957","28.13231086730957","28.13231086730957"
"112","33.08633804321289","33.08633804321289","33.08633804321289"
"125","36.74981689453125","36.74981689453125","36.74981689453125"
"126","27.693883895874023","27.693883895874023","27.693883895874023"
"127","36.14192581176758","36.14192581176758","36.14192581176758"
"128","27.91600227355957","27.91600227355957","27.91600227355957"
"129","27.171253204345703","27.171253204345703","27.171253204345703"
"130","33.71479797363281","33.71479797363281","33.71479797363281"
"131","33.214080810546875","33.214080810546875","33.214080810546875"
